zipCode,disasterNumber,sum_approvedForFemaAssistanceOwners,sum_totalApprovedIhpAmountOwners,sum_repairReplaceAmountOwners,sum_rentalAmountOwners,sum_otherNeedsAmountOwners,sum_approvedBetween1And10000Owners,sum_approvedBetween100001And25000Owners,sum_approvedBetween25001AndMaxOwners,sum_totalMaxGrantsOwners,sum_approvedForFemaAssistanceRenters,sum_totalApprovedIhpAmountRenters,sum_rentalAmountRenters,sum_otherNeedsAmountRenters,sum_approvedBetween1And10000Renters,sum_approvedBetween100001And25000Renters,sum_approvedBetween25001AndMaxRenters,sum_totalMaxGrantsRenters,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,region,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,designatedIncidentTypes,declarationRequestDate,id,hash,lastRefresh,declarationYear,average_assistance_per_owner,average_assistance_per_renter,total_approved_fema_assistance,total_approved_Ihp_amount,city,after_2020_only,latitude,longitude
37902,4293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2016-12-15T00:00:00.000Z,WILDFIRES,2016-11-28T00:00:00.000Z,2016-12-09T00:00:00.000Z,Major Disaster,TN,Tennessee                     ,Fire,2016-12-15T00:00:00.000Z,2016-12-15T00:00:00.000Z,,4.0,1.0,0.0,1.0,1.0,,2016-12-09T00:00:00.000Z,e9b828bb-7b9f-458c-8bfa-f8ded3262e16,4639c0e80d3398a34cb852551bf3bf412f9add59,2024-10-09T19:01:58.075Z,2016,,,,,"Knoxville, Tennessee",No,35.9606384,-83.9207392
42401,4569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2020-10-16T00:00:00.000Z,WILDFIRES,2020-09-04T00:00:00.000Z,2020-11-17T00:00:00.000Z,Major Disaster,CA,California                    ,Fire,2020-10-17T00:00:00.000Z,2020-11-20T00:00:00.000Z,,9.0,1.0,0.0,1.0,1.0,,2020-09-28T00:00:00.000Z,7be4ba3a-6419-4633-853a-2b25d2000ea6,b217409cc433e756d6cbf9abdc8d1d609926d5f1,2024-10-09T19:01:58.075Z,2020,,,,,Error,Yes,,
59426,4240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2015-09-22T00:00:00.000Z,VALLEY FIRE AND BUTTE FIRE,2015-09-09T00:00:00.000Z,2015-10-30T00:00:00.000Z,Major Disaster,CA,California                    ,Fire,2015-09-22T00:00:00.000Z,2015-11-02T00:00:00.000Z,,9.0,1.0,0.0,1.0,1.0,,2015-09-21T00:00:00.000Z,9b8aee69-59fa-4821-b1ba-bdc8b17d3d23,7e0be7a4f1a207bfbc1c7e504962b979789c610c,2024-10-09T19:01:58.075Z,2015,,,,,Error,No,,
60020,4558,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-22T00:00:00.000Z,WILDFIRES,2020-08-14T00:00:00.000Z,2020-09-26T00:00:00.000Z,Major Disaster,CA,California                    ,Fire,2020-08-22T00:00:00.000Z,2020-10-01T00:00:00.000Z,,9.0,1.0,0.0,1.0,1.0,,2020-08-20T00:00:00.000Z,8a7004f0-b239-4d56-8fdd-e7be783f0b94,f87b98f440548277b9e8ca7b447670ead1a6213c,2024-10-09T19:01:58.075Z,2020,,,,,"Fox Lake, Illinois",Yes,42.3966874,-88.1836965
63926,4634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2021-12-31T00:00:00.000Z,WILDFIRES AND STRAIGHT-LINE WINDS,2021-12-30T00:00:00.000Z,2022-01-07T00:00:00.000Z,Major Disaster,CO,Colorado                      ,Fire,2022-01-01T00:00:00.000Z,2022-01-14T00:00:00.000Z,,8.0,1.0,0.0,1.0,1.0,,2021-12-31T00:00:00.000Z,58664ee6-6dd9-4ca2-ac1f-477b16fc10ea,996d1a44f61cb8f7ac823561da73c8fd9a67b400,2024-10-09T19:01:58.075Z,2021,,,,,Error,Yes,,
70080,1624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2006-01-11T00:00:00.000Z,EXTREME WILDFIRE THREAT,2005-11-27T00:00:00.000Z,2006-05-14T00:00:00.000Z,Major Disaster,TX,Texas                         ,Fire,2006-01-11T00:00:00.000Z,2015-10-21T00:00:00.000Z,2015-10-14T00:00:00.000Z,6.0,1.0,1.0,1.0,1.0,,2006-01-10T00:00:00.000Z,ad2e3142-c104-4c72-949c-751eca744bc7,bb7b884bac695d2fb959e7a60ec945f08cebb1e4,2024-10-09T19:01:58.075Z,2006,,,,,"Paradis, Louisiana",No,29.8772427,-90.4358266
70529,4856,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01-08T00:00:00.000Z,WILDFIRES AND STRAIGHT-LINE WINDS,2025-01-07T00:00:00.000Z,,Major Disaster,CA,California                    ,Fire,2025-01-09T00:00:00.000Z,2025-01-15T00:00:00.000Z,,9.0,1.0,0.0,1.0,1.0,"2,R",2025-01-08T00:00:00.000Z,8d6a68b8-e429-42ed-a0c8-dabade17ebeb,cc28c1e05e892a365e8b1cce9d90889ac0fbd768,2025-01-15T22:41:27.948Z,2025,,,,,"Duson, Louisiana",Yes,30.2357577,-92.18540349999999
71303,4558,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-22T00:00:00.000Z,WILDFIRES,2020-08-14T00:00:00.000Z,2020-09-26T00:00:00.000Z,Major Disaster,CA,California                    ,Fire,2020-08-22T00:00:00.000Z,2020-10-01T00:00:00.000Z,,9.0,1.0,0.0,1.0,1.0,,2020-08-20T00:00:00.000Z,8a7004f0-b239-4d56-8fdd-e7be783f0b94,f87b98f440548277b9e8ca7b447670ead1a6213c,2024-10-09T19:01:58.075Z,2020,,,,,"Alexandria, Louisiana",Yes,31.3112936,-92.4451371
72341,1731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2007-10-24T00:00:00.000Z,"WILDFIRES, FLOODING, MUD FLOWS, AND DEBRIS FLOWS",2007-10-21T00:00:00.000Z,2008-03-31T00:00:00.000Z,Major Disaster,CA,California                    ,Fire,2007-10-24T00:00:00.000Z,2024-12-13T00:00:00.000Z,,9.0,1.0,1.0,1.0,1.0,,2007-10-23T00:00:00.000Z,fab96461-9a0d-4cb9-8228-7ff4051dc727,1404f9fe5acf61c9bc2265f2d84be1de76e4e7d3,2024-12-13T20:01:32.705Z,2007,,,,,"Haynes, Arkansas",No,34.8908268,-90.7924276
73003,1623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2006-01-10T00:00:00.000Z,EXTREME WILDFIRE THREAT,2005-11-27T00:00:00.000Z,2006-03-31T00:00:00.000Z,Major Disaster,OK,Oklahoma                      ,Fire,2006-01-10T00:00:00.000Z,2014-12-30T00:00:00.000Z,2014-12-30T00:00:00.000Z,6.0,1.0,1.0,1.0,1.0,,2006-01-09T00:00:00.000Z,c7840fbf-f776-4907-b800-e2307a2f762d,48ec114d8bf5ead0c8395736322caddb6ccb8495,2024-10-09T19:01:58.075Z,2006,,,,,"Edmond, Oklahoma",No,35.6528323,-97.47809540000002
