city,after_2020_only,latitude,longitude,total_approved_Ihp_amount,total_approved_fema_assistance,declarationYear
"Kiowa, Oklahoma",No,34.7206515,-95.89915859999999,,,2006
"Wardville, Oklahoma",No,34.6537052,-96.0302729,,,2006
"Durant, Oklahoma",No,33.9924186,-96.39712329999999,,,2006
"Durant, Oklahoma",No,33.9924186,-96.39712329999999,,,2006
"Achille, Oklahoma",No,33.8334343,-96.3872105,,,2006
"Bokchito, Oklahoma",No,34.0173184,-96.1427628,,,2006
"Boswell, Oklahoma",No,34.0273209,-95.8691422,,,2006
"Calera, Oklahoma",No,33.9345433,-96.4286022,,,2006
"Colbert, Oklahoma",No,33.8531568,-96.5024916,,,2006
"Hugo, Oklahoma",No,34.01066,-95.50968209999999,,,2006
Error,No,,,,,2012
"Soper, Oklahoma",No,34.0328791,-95.6971903,,,2006
"Shawnee, Oklahoma",No,35.3272928,-96.9253004,,,2006
"Seminole, Oklahoma",No,35.2245201,-96.67057299999999,,,2006
"Asher, Oklahoma",No,34.9895233,-96.92363220000001,,,2006
"Boley, Oklahoma",No,35.4934062,-96.48362209999999,,,2006
"Bowlegs, Oklahoma",No,35.1461889,-96.6700171,,,2006
"Castle, Oklahoma",No,35.4745245,-96.38223049999999,,,2006
"Chandler, Oklahoma",No,35.7017314,-96.88085819999999,,,2006
"Dustin, Oklahoma",No,35.2706529,-96.0308347,,,2006
"Holdenville, Oklahoma",No,35.0803617,-96.3991765,,,2006
"Mcloud, Oklahoma",No,35.4358996,-97.09141629999999,,,2006
"Maud, Oklahoma",No,35.130355,-96.77585289999999,,,2006
"Meeker, Oklahoma",No,35.5034006,-96.9028014,,,2006
"Newalla, Oklahoma",No,35.4051058,-97.1629711,,,2006
"Okemah, Oklahoma",No,35.4325854,-96.30500640000001,,,2006
"Paden, Oklahoma",No,35.5078486,-96.5675136,,,2006
"Prague, Oklahoma",No,35.4867368,-96.68501739999999,,,2006
"Roff, Oklahoma",No,34.6275878,-96.8408469,,,2006
"Sasakwa, Oklahoma",No,34.9486951,-96.525289,,,2006
"Seminole, Oklahoma",No,35.2245201,-96.67057299999999,,,2006
"Sparks, Oklahoma",No,35.6081226,-96.8211333,,,2006
"Stratford, Oklahoma",No,34.7967497,-96.9594636,,,2006
"Tecumseh, Oklahoma",No,35.2578498,-96.9366888,,,2006
"Wanette, Oklahoma",No,34.9620224,-97.0325225,,,2009
"Weleetka, Oklahoma",No,35.3356496,-96.1363921,,,2006
"Wellston, Oklahoma",No,35.6942278,-97.063363,,,2006
"Wellston, Oklahoma",No,35.6942278,-97.063363,,,2009
"Wetumka, Oklahoma",No,35.2375883,-96.2416731,,,2006
"Wewoka, Oklahoma",No,35.1586902,-96.49334569999999,,,2006
"Corsicana, Texas",No,32.0954304,-96.46887269999999,12004.35,1.0,2011
"Corsicana, Texas",No,32.0954304,-96.46887269999999,12863.47,2.0,2011
"Texarkana, Texas",No,33.425125,-94.04768820000001,,,2011
"Atlanta, Texas",No,33.1137419,-94.16435369999999,,,2011
"Douglassville, Texas",No,33.1920712,-94.3535278,,,2011
"Linden, Texas",No,33.0123537,-94.36547069999999,5869.38,3.0,2011
"Mc Leod, Texas",No,32.9447203,-94.080901,,,2011
"Marietta, Texas",No,33.1734579,-94.5424232,,,2011
"Longview, Texas",No,32.5007037,-94.74048909999999,,,2011
"Avinger, Texas",No,32.8998554,-94.5563119,146022.58000000002,9.0,2011
"Diana, Texas",No,32.7098612,-94.75215419999999,,,2011
"Gilmer, Texas",No,32.7287472,-94.94243790000002,96973.39,5.0,2011
"Gilmer, Texas",No,32.7287472,-94.94243790000002,93905.26999999999,4.0,2011
"Gladewater, Texas",No,32.53653329999999,-94.94271680000001,,,2011
"Hallsville, Texas",No,32.504316,-94.5740934,,,2011
"Henderson, Texas",No,32.1532156,-94.7993802,,,2011
"Henderson, Texas",No,32.1532156,-94.7993802,30200.0,1.0,2011
Error,No,,,,,2011
"Jefferson, Texas",No,32.7573626,-94.34519259999999,905271.42,41.0,2011
"Karnack, Texas",No,32.668078,-94.1707038,,,2011
"Kilgore, Texas",No,32.3862619,-94.87577089999999,,,2011
"Marshall, Texas",No,32.5448714,-94.36741839999999,,,2011
"Mount Enterprise, Texas",No,31.9179525,-94.6813761,,,2011
"Ore City, Texas",No,32.8001354,-94.7207634,0.0,0.0,2011
"Waskom, Texas",No,32.4787644,-94.0596305,,,2011
"White Oak, Texas",No,32.5279235,-94.86132579999999,,,2011
"Tyler, Texas",No,32.3512601,-95.30106239999999,,,2011
"Tyler, Texas",No,32.3512601,-95.30106239999999,,,2011
"Tyler, Texas",No,32.3512601,-95.30106239999999,,,2011
"Athens, Texas",No,32.2048735,-95.8555207,33011.9,2.0,2011
"Athens, Texas",No,32.2048735,-95.8555207,35856.44,2.0,2011
"Big Sandy, Texas",No,32.58375210000001,-95.1088328,193074.2,10.0,2011
"Frankston, Texas",No,32.0526614,-95.50634559999999,,,2011
"Winona, Texas",No,32.4895892,-95.167169,39398.21,3.0,2011
"Palestine, Texas",No,31.7621153,-95.6307891,,,2011
"Buffalo, Texas",No,31.4637866,-96.0580197,,,2011
"Crockett, Texas",No,31.3177591,-95.4571905,,,2011
"Elkhart, Texas",No,31.6251747,-95.5793977,,,2006
"Grapeland, Texas",No,31.49369219999999,-95.4789863,,,2011
"Jewett, Texas",No,31.3615664,-96.1441315,,,2011
"Montalba, Texas",No,31.8765549,-95.7327373,,,2006
"Arlington, Texas",No,32.735687,-97.10806559999999,,,2006
"Arlington, Texas",No,32.735687,-97.10806559999999,,,2006
"Aledo, Texas",No,32.6959643,-97.6022471,,,2006
"Arlington, Texas",No,32.735687,-97.10806559999999,,,2006
"Arlington, Texas",No,32.735687,-97.10806559999999,,,2006
"Bedford, Texas",No,32.844017,-97.1430671,,,2006
"Boyd, Texas",No,33.0787326,-97.56530269999999,,,2006
"Cleburne, Texas",No,32.3476438,-97.38668369999999,,,2006
"Cleburne, Texas",No,32.3476438,-97.38668369999999,,,2006
"Cresson, Texas",No,32.5326369,-97.61780259999999,,,2006
"Granbury, Texas",No,32.4488736,-97.7905758,,,2006
"Grapevine, Texas",No,32.9342919,-97.0780654,,,2006
"Joshua, Texas",No,32.4615291,-97.3880731,,,2006
"Kennedale, Texas",No,32.646801,-97.2258465,,,2006
"Mansfield, Texas",No,32.5631924,-97.1416768,,,2006
"Mineral Wells, Texas",No,32.8084605,-98.1128223,,,2006
"Paradise, Texas",No,33.150118,-97.6872521,,,2006
"Springtown, Texas",No,32.9659566,-97.68363839999999,,,2006
"Fort Worth, Texas",No,32.7554883,-97.3307658,,,2006
"Fort Worth, Texas",No,32.7554883,-97.3307658,,,2006
"Fort Worth, Texas",No,32.7554883,-97.3307658,,,2006
"Fort Worth, Texas",No,32.7554883,-97.3307658,,,2006
"Fort Worth, Texas",No,32.7554883,-97.3307658,,,2006
"Fort Worth, Texas",No,32.7554883,-97.3307658,,,2006
"Fort Worth, Texas",No,32.7554883,-97.3307658,,,2006
"Fort Worth, Texas",No,32.7554883,-97.3307658,,,2006
"Bowie, Texas",No,33.5589953,-97.84864569999999,,,2006
"Decatur, Texas",No,33.2342834,-97.5861393,,,2006
"Gainesville, Texas",No,33.62594139999999,-97.1333453,,,2006
"Nocona, Texas",No,33.7867684,-97.7258626,,,2006
"Ringgold, Texas",No,33.8203784,-97.943647,,,2006
"Saint Jo, Texas",No,33.6948279,-97.52252449999999,,,2006
