city,after_2020_only,latitude,longitude,total_approved_Ihp_amount,total_approved_fema_assistance,declarationYear
"Murrieta, California",No,33.5539143,-117.2139232,,,2007
"Murrieta, California",No,33.5539143,-117.2139232,,,2020
"Nuevo, California",No,33.801408,-117.145866,,,2007
"Perris, California",No,33.7825194,-117.2286478,,,2007
"Perris, California",No,33.7825194,-117.2286478,,,2008
"San Jacinto, California",No,33.7839084,-116.958635,,,2007
"San Jacinto, California",No,33.7839084,-116.958635,,,2020
"San Jacinto, California",No,33.7839084,-116.958635,,,2007
"San Jacinto, California",No,33.7839084,-116.958635,,,2021
"Menifee, California",No,33.6971468,-117.185294,,,2007
"Menifee, California",No,33.6971468,-117.185294,,,2007
"Menifee, California",No,33.6971468,-117.185294,,,2020
"Temecula, California",No,33.4934243,-117.1488156,,,2007
"Temecula, California",No,33.4934243,-117.1488156,,,2007
"Temecula, California",No,33.4934243,-117.1488156,,,2007
"Temecula, California",No,33.4934243,-117.1488156,,,2020
"Wildomar, California",No,33.5989126,-117.2800372,,,2007
"Winchester, California",No,33.706966,-117.0844733,,,2007
"Irvine, California",No,33.6845673,-117.8265049,,,2007
"Irvine, California",No,33.6845673,-117.8265049,0.0,0.0,2017
"Irvine, California",No,33.6845673,-117.8265049,,,2018
"Irvine, California",No,33.6845673,-117.8265049,1500.0,3.0,2017
"Irvine, California",No,33.6845673,-117.8265049,,,2007
"Irvine, California",No,33.6845673,-117.8265049,0.0,0.0,2017
"Irvine, California",No,33.6845673,-117.8265049,1000.0,2.0,2017
"Foothill Ranch, California",No,33.6831832,-117.6664308,,,2007
"Foothill Ranch, California",No,33.6831832,-117.6664308,0.0,0.0,2017
"Irvine, California",No,33.6845673,-117.8265049,0.0,0.0,2017
"Irvine, California",No,33.6845673,-117.8265049,0.0,0.0,2017
"Irvine, California",No,33.6845673,-117.8265049,0.0,0.0,2017
"Irvine, California",No,33.6845673,-117.8265049,0.0,0.0,2017
"Irvine, California",No,33.6845673,-117.8265049,,,2007
"Irvine, California",No,33.6845673,-117.8265049,0.0,0.0,2017
"Irvine, California",No,33.6845673,-117.8265049,,,2020
"Capistrano Beach, California",No,33.4596667,-117.6690208,0.0,0.0,2017
"Corona Del Mar, California",No,33.5978595,-117.8730142,500.0,1.0,2017
"Costa Mesa, California",No,33.6638439,-117.9047429,1000.0,2.0,2017
"Costa Mesa, California",No,33.6638439,-117.9047429,,,2007
"Costa Mesa, California",No,33.6638439,-117.9047429,0.0,0.0,2017
"Dana Point, California",No,33.4672256,-117.6981014,0.0,0.0,2017
"Lake Forest, California",No,33.6469437,-117.6861023,,,2007
"Lake Forest, California",No,33.6469437,-117.6861023,500.0,1.0,2017
"Lake Forest, California",No,33.6469437,-117.6861023,,,2020
"Laguna Woods, California",No,33.6101702,-117.7251162,500.0,1.0,2017
"Huntington Beach, California",No,33.6594835,-117.9988026,500.0,1.0,2017
"Huntington Beach, California",No,33.6594835,-117.9988026,500.0,1.0,2017
"Huntington Beach, California",No,33.6594835,-117.9988026,,,2007
"Huntington Beach, California",No,33.6594835,-117.9988026,0.0,0.0,2017
"Huntington Beach, California",No,33.6594835,-117.9988026,0.0,0.0,2017
"Laguna Beach, California",No,33.5427189,-117.7853568,0.0,0.0,2017
"Laguna Hills, California",No,33.5916433,-117.6986604,0.0,0.0,2017
"Midway City, California",No,33.7446861,-117.9863236,,,2017
"Aliso Viejo, California",No,33.5684605,-117.7262981,,,2007
"Aliso Viejo, California",No,33.5684605,-117.7262981,1000.0,2.0,2017
"Newport Coast, California",No,33.5973864,-117.8369007,500.0,1.0,2017
"Newport Beach, California",No,33.6041944,-117.8738554,,,2007
"Newport Beach, California",No,33.6041944,-117.8738554,500.0,1.0,2017
"Newport Beach, California",No,33.6041944,-117.8738554,,,2020
"Newport Beach, California",No,33.6041944,-117.8738554,,,2017
"Newport Beach, California",No,33.6041944,-117.8738554,,,2017
"Newport Beach, California",No,33.6041944,-117.8738554,0.0,0.0,2017
"Newport Beach, California",No,33.6041944,-117.8738554,,,2020
"San Clemente, California",No,33.4273521,-117.6126004,,,2007
"San Clemente, California",No,33.4273521,-117.6126004,500.0,1.0,2017
"San Clemente, California",No,33.4273521,-117.6126004,500.0,1.0,2017
"San Clemente, California",No,33.4273521,-117.6126004,,,2020
"San Juan Capistrano, California",No,33.5019027,-117.6627655,,,2007
"San Juan Capistrano, California",No,33.5019027,-117.6627655,0.0,0.0,2017
"San Juan Capistrano, California",No,33.5019027,-117.6627655,,,2018
"Silverado, California",No,33.7481369,-117.6406523,,,2007
"Silverado, California",No,33.7481369,-117.6406523,,,2008
"Silverado, California",No,33.7481369,-117.6406523,,,2017
"Laguna Niguel, California",No,33.5236744,-117.7149438,0.0,0.0,2017
"Laguna Niguel, California",No,33.5236744,-117.7149438,,,2018
"Trabuco Canyon, California",No,33.6777564,-117.5906715,,,2007
"Trabuco Canyon, California",No,33.6777564,-117.5906715,,,2007
"Trabuco Canyon, California",No,33.6777564,-117.5906715,500.0,1.0,2017
"Trabuco Canyon, California",No,33.6777564,-117.5906715,,,2018
"Westminster, California",No,33.7591757,-117.9897058,0.0,0.0,2017
"Rancho Santa Margarita, California",No,33.640171,-117.602832,0.0,0.0,2017
"Rancho Santa Margarita, California",No,33.640171,-117.602832,,,2020
"Mission Viejo, California",No,33.5968913,-117.6581562,500.0,1.0,2017
"Mission Viejo, California",No,33.5968913,-117.6581562,,,2007
"Mission Viejo, California",No,33.5968913,-117.6581562,500.0,1.0,2017
"Mission Viejo, California",No,33.5968913,-117.6581562,,,2020
"Ladera Ranch, California",No,33.550735,-117.6411717,0.0,0.0,2017
"Santa Ana, California",No,33.7454725,-117.867653,0.0,0.0,2017
"Santa Ana, California",No,33.7454725,-117.867653,,,2020
"Santa Ana, California",No,33.7454725,-117.867653,500.0,1.0,2017
"Santa Ana, California",No,33.7454725,-117.867653,0.0,0.0,2017
"Santa Ana, California",No,33.7454725,-117.867653,0.0,0.0,2017
"Santa Ana, California",No,33.7454725,-117.867653,,,2020
"Santa Ana, California",No,33.7454725,-117.867653,0.0,0.0,2017
"Santa Ana, California",No,33.7454725,-117.867653,0.0,0.0,2017
"Fountain Valley, California",No,33.7090212,-117.9544069,0.0,0.0,2017
"Fountain Valley, California",No,33.7090212,-117.9544069,,,2020
"Tustin, California",No,33.7420005,-117.8236391,0.0,0.0,2017
"Tustin, California",No,33.7420005,-117.8236391,,,2007
"Tustin, California",No,33.7420005,-117.8236391,500.0,1.0,2017
"Anaheim, California",No,33.8365932,-117.9143012,,,2007
"Anaheim, California",No,33.8365932,-117.9143012,,,2008
"Anaheim, California",No,33.8365932,-117.9143012,1500.0,3.0,2017
"Anaheim, California",No,33.8365932,-117.9143012,,,2007
"Anaheim, California",No,33.8365932,-117.9143012,500.0,1.0,2017
"Anaheim, California",No,33.8365932,-117.9143012,,,2008
"Anaheim, California",No,33.8365932,-117.9143012,1000.0,2.0,2017
"Anaheim, California",No,33.8365932,-117.9143012,,,2020
"Anaheim, California",No,33.8365932,-117.9143012,0.0,0.0,2017
"Anaheim, California",No,33.8365932,-117.9143012,1000.0,2.0,2017
"Anaheim, California",No,33.8365932,-117.9143012,,,2020
"Anaheim, California",No,33.8365932,-117.9143012,,,2008
"Anaheim, California",No,33.8365932,-117.9143012,37486.0,2.0,2017
"Anaheim, California",No,33.8365932,-117.9143012,,,2020
"Anaheim, California",No,33.8365932,-117.9143012,,,2007
"Anaheim, California",No,33.8365932,-117.9143012,130155.76,18.0,2008
"Anaheim, California",No,33.8365932,-117.9143012,500.0,1.0,2017
"Brea, California",No,33.916475,-117.9002918,,,2008
"Brea, California",No,33.916475,-117.9002918,0.0,0.0,2017
"Brea, California",No,33.916475,-117.9002918,,,2017
"Brea, California",No,33.916475,-117.9002918,18602.92,1.0,2008
"Brea, California",No,33.916475,-117.9002918,,,2017
"Fullerton, California",No,33.8703645,-117.9242123,,,2008
"Fullerton, California",No,33.8703645,-117.9242123,500.0,1.0,2017
"Fullerton, California",No,33.8703645,-117.9242123,0.0,0.0,2017
"Fullerton, California",No,33.8703645,-117.9242123,500.0,1.0,2017
"Fullerton, California",No,33.8703645,-117.9242123,500.0,1.0,2017
"Garden Grove, California",No,33.7742692,-117.9379952,0.0,0.0,2017
"Garden Grove, California",No,33.7742692,-117.9379952,500.0,1.0,2017
"Garden Grove, California",No,33.7742692,-117.9379952,,,2018
"Garden Grove, California",No,33.7742692,-117.9379952,,,2007
"Garden Grove, California",No,33.7742692,-117.9379952,1500.0,3.0,2017
"Garden Grove, California",No,33.7742692,-117.9379952,,,2007
"Garden Grove, California",No,33.7742692,-117.9379952,0.0,0.0,2017
"Garden Grove, California",No,33.7742692,-117.9379952,,,2020
"Garden Grove, California",No,33.7742692,-117.9379952,0.0,0.0,2017
"Orange, California",Yes,33.7879085,-117.855281,,,2020
"Villa Park, California",No,33.81400620000001,-117.8220723,500.0,1.0,2017
"Orange, California",No,33.7879085,-117.855281,,,2017
"Orange, California",No,33.7879085,-117.855281,500.0,1.0,2017
"Orange, California",No,33.7879085,-117.855281,0.0,0.0,2017
"Orange, California",No,33.7879085,-117.855281,0.0,0.0,2017
"Orange, California",No,33.7879085,-117.855281,0.0,0.0,2017
"Orange, California",No,33.7879085,-117.855281,,,2007
"Orange, California",No,33.7879085,-117.855281,500.0,1.0,2017
"Orange, California",No,33.7879085,-117.855281,,,2020
"Orange, California",No,33.7879085,-117.855281,,,2020
"Placentia, California",No,33.8710317,-117.8628096,,,2008
"Placentia, California",No,33.8710317,-117.8628096,1000.0,2.0,2017
"Eastvale, California",No,33.952463,-117.5848025,22672.14,6.0,2008
"Corona, California",No,33.8752935,-117.5664384,,,2007
"Corona, California",No,33.8752935,-117.5664384,,,2008
"Corona, California",No,33.8752935,-117.5664384,,,2007
"Yorba Linda, California",No,33.88850350000001,-117.8132571,58829.92999999999,4.0,2008
"Yorba Linda, California",No,33.88850350000001,-117.8132571,1000.0,2.0,2017
"Yorba Linda, California",No,33.88850350000001,-117.8132571,,,2020
"Yorba Linda, California",No,33.88850350000001,-117.8132571,210705.77000000002,28.0,2008
"Yorba Linda, California",No,33.88850350000001,-117.8132571,500.0,1.0,2017
"Ventura, California",No,34.2808409,-119.2931259,572207.14,94.0,2018
"Ventura, California",No,34.2808409,-119.2931259,0.0,0.0,2018
"Ventura, California",No,34.2808409,-119.2931259,,,2007
"Ventura, California",No,34.2808409,-119.2931259,320828.89,52.0,2018
"Ventura, California",No,34.2808409,-119.2931259,0.0,0.0,2018
"Ventura, California",No,34.2808409,-119.2931259,,,2007
"Ventura, California",No,34.2808409,-119.2931259,1445.27,1.0,2018
"Ventura, California",No,34.2808409,-119.2931259,0.0,0.0,2018
"Camarillo, California",No,34.2163937,-119.0376023,,,2007
"Camarillo, California",No,34.2163937,-119.0376023,0.0,0.0,2018
"Camarillo, California",No,34.2163937,-119.0376023,0.0,0.0,2018
"Camarillo, California",No,34.2163937,-119.0376023,,,2021
"Camarillo, California",No,34.2163937,-119.0376023,,,2007
"Camarillo, California",No,34.2163937,-119.0376023,0.0,0.0,2018
"Camarillo, California",No,34.2163937,-119.0376023,0.0,0.0,2018
"Carpinteria, California",No,34.39888380000001,-119.5184564,121885.95,22.0,2018
"Carpinteria, California",No,34.39888380000001,-119.5184564,,,2020
"Carpinteria, California",No,34.39888380000001,-119.5184564,,,2018
"Fillmore, California",No,34.3991639,-118.918154,0.0,0.0,2018
"Fillmore, California",No,34.3991639,-118.918154,,,2020
"Moorpark, California",No,34.285558,-118.8820414,,,2007
"Moorpark, California",No,34.285558,-118.8820414,2616.0,1.0,2018
"Moorpark, California",No,34.285558,-118.8820414,,,2018
"Oak View, California",No,34.399996,-119.3001134,37665.22,4.0,2018
"Oak View, California",No,34.399996,-119.3001134,,,2018
"Ojai, California",No,34.4480495,-119.242889,630479.88,68.0,2018
"Ojai, California",No,34.4480495,-119.242889,,,2018
"Oxnard, California",No,34.1976816,-119.1774639,0.0,0.0,2018
"Oxnard, California",No,34.1976816,-119.1774639,,,2018
"Oxnard, California",No,34.1976816,-119.1774639,0.0,0.0,2018
"Oxnard, California",No,34.1976816,-119.1774639,,,2018
"Oxnard, California",No,34.1976816,-119.1774639,0.0,0.0,2018
"Oxnard, California",No,34.1976816,-119.1774639,0.0,0.0,2018
"Oxnard, California",No,34.1976816,-119.1774639,0.0,0.0,2018
"Piru, California",No,34.4152743,-118.7939824,,,2007
"Port Hueneme, California",No,34.1477829,-119.1951074,0.0,0.0,2018
"Port Hueneme, California",No,34.1477829,-119.1951074,,,2018
"Santa Paula, California",No,34.3541659,-119.0592705,439999.85,50.0,2018
"Simi Valley, California",No,34.2694474,-118.781482,,,2007
"Simi Valley, California",No,34.2694474,-118.781482,0.0,0.0,2018
"Simi Valley, California",No,34.2694474,-118.781482,0.0,0.0,2018
"Simi Valley, California",No,34.2694474,-118.781482,,,2020
"Simi Valley, California",No,34.2694474,-118.781482,,,2007
"Simi Valley, California",No,34.2694474,-118.781482,,,2018
"Simi Valley, California",No,34.2694474,-118.781482,0.0,0.0,2018
"Summerland, California",No,34.4220518,-119.5981636,4090.99,3.0,2018
"Santa Barbara, California",No,34.4208305,-119.6981901,,,2008
"Santa Barbara, California",No,34.4208305,-119.6981901,11833.36,7.0,2018
"Santa Barbara, California",No,34.4208305,-119.6981901,,,2020
"Santa Barbara, California",No,34.4208305,-119.6981901,527763.96,65.0,2008
"Santa Barbara, California",No,34.4208305,-119.6981901,4048.01,3.0,2018
"Santa Barbara, California",No,34.4208305,-119.6981901,46876.78,5.0,2008
"Santa Barbara, California",No,34.4208305,-119.6981901,2439.01,2.0,2018
"Santa Barbara, California",No,34.4208305,-119.6981901,,,2018
"Santa Barbara, California",No,34.4208305,-119.6981901,507694.88,67.0,2008
"Santa Barbara, California",No,34.4208305,-119.6981901,2120880.5,353.0,2018
"Santa Barbara, California",No,34.4208305,-119.6981901,0.0,0.0,2018
"Santa Barbara, California",No,34.4208305,-119.6981901,0.0,0.0,2018
"Santa Barbara, California",No,34.4208305,-119.6981901,0.0,0.0,2018
"Goleta, California",No,34.4358294,-119.8276389,,,2008
"Goleta, California",No,34.4358294,-119.8276389,0.0,0.0,2018
"Santa Barbara, California",No,34.4208305,-119.6981901,,,2018
"California Hot Springs, California",Yes,35.8868709,-118.6541895,,,2020
"Camp Nelson, California",Yes,36.1396307,-118.6166318,,,2020
"Coalinga, California",Yes,36.139678,-120.3601496,0.0,0.0,2020
"Coalinga, California",Yes,36.139678,-120.3601496,0.0,0.0,2020
"Corcoran, California",Yes,36.098007,-119.5604015,,,2020
"Earlimart, California",Yes,35.8841206,-119.2723328,,,2020
"Edison, California",Yes,35.3475038,-118.8719662,,,2020
"Exeter, California",Yes,36.2960613,-119.1420517,0.0,0.0,2020
"Farmersville, California",Yes,36.2977283,-119.2067767,0.0,0.0,2020
"Kaweah, California",Yes,36.4700543,-118.9190189,,,2020
"Laton, California",Yes,36.4332835,-119.686799,,,2020
"Lemoore, California",Yes,36.3007835,-119.7829107,,,2020
"Lindsay, California",Yes,36.2030064,-119.08816,0.0,0.0,2020
"Mc Farland, California",Yes,35.6780104,-119.2292748,,,2020
"Pixley, California",Yes,35.9685648,-119.2917785,0.0,0.0,2020
"Porterville, California",Yes,36.0651431,-119.0164344,0.0,0.0,2020
"Richgrove, California",Yes,35.79661979999999,-119.1078814,,,2020
"Sequoia National Park, California",Yes,36.4863668,-118.5657516,,,2020
"Springville, California",Yes,36.1302265,-118.8181495,49396.86,5.0,2020
"Taft, California",Yes,35.1424671,-119.4565078,0.0,0.0,2020
"Terra Bella, California",Yes,35.9624529,-119.0442687,,,2020
"Three Rivers, California",Yes,36.4388364,-118.9045445,0.0,0.0,2020
"Tipton, California",Yes,36.0593973,-119.3120577,,,2020
"Tulare, California",Yes,36.2077288,-119.3473379,0.0,0.0,2020
"Visalia, California",Yes,36.3301329,-119.2966367,0.0,0.0,2020
"Woodlake, California",Yes,36.4135605,-119.0987176,,,2020
"Visalia, California",Yes,36.3301329,-119.2966367,7228.48,1.0,2020
"Visalia, California",Yes,36.3301329,-119.2966367,0.0,0.0,2020
"Bakersfield, California",Yes,35.3732921,-119.0187125,,,2020
"Bakersfield, California",No,35.3732921,-119.0187125,,,2018
"Los Osos, California",No,35.3072291,-120.8384093,,,2007
"Atascadero, California",Yes,35.4894169,-120.6707255,,,2020
"Bradley, California",Yes,35.8632993,-120.8007321,,,2020
"Buellton, California",No,34.613597,-120.1926505,0.0,0.0,2018
"Cayucos, California",Yes,35.4427511,-120.8921254,,,2020
"Lompoc, California",No,34.6391501,-120.4579409,0.0,0.0,2018
"Lompoc, California",No,34.6391501,-120.4579409,,,2020
"Los Olivos, California",No,34.6677172,-120.1150067,,,2018
"Nipomo, California",Yes,35.0427547,-120.4759986,,,2020
"San Miguel, California",Yes,35.7524679,-120.6962826,,,2020
"Santa Maria, California",No,34.9530337,-120.4357191,,,2018
"Santa Maria, California",Yes,34.9530337,-120.4357191,,,2020
"Santa Ynez, California",No,34.6144313,-120.079868,,,2018
"Solvang, California",No,34.5958201,-120.1376481,0.0,0.0,2018
"California City, California",Yes,35.125801,-117.9859038,,,2020
"Acton, California",No,34.469994,-118.1967418,,,2007
"Acton, California",No,34.469994,-118.1967418,0.0,0.0,2020
"Acton, California",No,34.469994,-118.1967418,770.0,1.0,2025
"Lake Hughes, California",No,34.6773324,-118.4525466,,,2018
"Lake Hughes, California",No,34.6773324,-118.4525466,,,2020
"Lake Hughes, California",No,34.6773324,-118.4525466,,,2025
"Lancaster, California",No,34.703947,-118.1481016,0.0,0.0,2008
"Lancaster, California",No,34.703947,-118.1481016,,,2018
"Lancaster, California",No,34.703947,-118.1481016,,,2018
"Lancaster, California",No,34.703947,-118.1481016,0.0,0.0,2020
"Lancaster, California",No,34.703947,-118.1481016,5276.09,1.0,2025
"Lancaster, California",No,34.703947,-118.1481016,,,2007
"Lancaster, California",No,34.703947,-118.1481016,,,2008
"Lancaster, California",No,34.703947,-118.1481016,0.0,0.0,2018
"Lancaster, California",No,34.703947,-118.1481016,0.0,0.0,2020
"Lancaster, California",No,34.703947,-118.1481016,0.0,0.0,2020
"Lancaster, California",No,34.703947,-118.1481016,,,2021
"Lancaster, California",No,34.703947,-118.1481016,162.49,1.0,2025
"Lancaster, California",No,34.703947,-118.1481016,,,2007
"Lancaster, California",No,34.703947,-118.1481016,,,2008
"Lancaster, California",No,34.703947,-118.1481016,0.0,0.0,2018
"Lancaster, California",No,34.703947,-118.1481016,,,2018
"Lancaster, California",No,34.703947,-118.1481016,0.0,0.0,2020
"Lancaster, California",No,34.703947,-118.1481016,0.0,0.0,2025
"Littlerock, California",No,34.521104,-117.9836793,219626.22999999998,11.0,2020
"Littlerock, California",No,34.521104,-117.9836793,0.0,0.0,2025
"Llano, California",Yes,34.5058282,-117.8178409,45630.0,3.0,2020
"Palmdale, California",No,34.5794343,-118.1164613,,,2008
"Palmdale, California",No,34.5794343,-118.1164613,,,2018
"Palmdale, California",No,34.5794343,-118.1164613,,,2020
"Palmdale, California",No,34.5794343,-118.1164613,6622.41,1.0,2020
"Palmdale, California",No,34.5794343,-118.1164613,770.0,1.0,2025
"Palmdale, California",No,34.5794343,-118.1164613,,,2007
"Palmdale, California",No,34.5794343,-118.1164613,,,2008
"Palmdale, California",No,34.5794343,-118.1164613,,,2018
"Palmdale, California",No,34.5794343,-118.1164613,0.0,0.0,2020
"Palmdale, California",No,34.5794343,-118.1164613,0.0,0.0,2025
"Palmdale, California",No,34.5794343,-118.1164613,,,2008
"Palmdale, California",No,34.5794343,-118.1164613,,,2018
"Palmdale, California",No,34.5794343,-118.1164613,29945.12,4.0,2020
"Palmdale, California",No,34.5794343,-118.1164613,0.0,0.0,2025
"Pearblossom, California",No,34.5064141,-117.9096804,120096.35,4.0,2020
"Pearblossom, California",No,34.5064141,-117.9096804,,,2025
"Trona, California",Yes,35.767454,-117.4039467,,,2020
"Valyermo, California",Yes,34.4461079,-117.8522857,0.0,0.0,2020
"Lancaster, California",Yes,34.703947,-118.1481016,,,2025
"Palmdale, California",No,34.5794343,-118.1164613,0.0,0.0,2020
"Palmdale, California",No,34.5794343,-118.1164613,0.0,0.0,2025
"Ahwahnee, California",Yes,37.3651749,-119.726218,0.0,0.0,2020
"Auberry, California",Yes,37.0807823,-119.4854113,639053.93,34.0,2020
"Bass Lake, California",Yes,37.3309245,-119.5774616,,,2020
"Big Creek, California",Yes,37.2048997,-119.2460242,54987.049999999996,4.0,2020
"Chowchilla, California",Yes,37.1229997,-120.2601754,0.0,0.0,2020
"Clovis, California",Yes,36.8252277,-119.7029194,0.0,0.0,2020
"Clovis, California",Yes,36.8252277,-119.7029194,0.0,0.0,2020
"Coarsegold, California",Yes,37.2612109,-119.7014194,,,2020
"Coarsegold, California",Yes,37.2612109,-119.7014194,0.0,0.0,2020
"Cutler, California",Yes,36.5232833,-119.2867823,,,2020
"Dinuba, California",Yes,36.5432837,-119.3870656,0.0,0.0,2020
"Dinuba, California",Yes,36.5432837,-119.3870656,,,2020
"Clovis, California",Yes,36.8252277,-119.7029194,0.0,0.0,2020
Error,Yes,,,,,2020
"Kerman, California",Yes,36.72355719999999,-120.059879,0.0,0.0,2020
"Kingsburg, California",Yes,36.5139516,-119.5541061,,,2020
"Kingsburg, California",Yes,36.5139516,-119.5541061,0.0,0.0,2020
"Lakeshore, California",Yes,37.2530002,-119.1748429,24356.34,1.0,2020
"Madera, California",Yes,36.9613356,-120.0607176,,,2020
"Madera, California",Yes,36.9613356,-120.0607176,0.0,0.0,2020
"Madera, California",Yes,36.9613356,-120.0607176,0.0,0.0,2020
"Madera, California",Yes,36.9613356,-120.0607176,,,2020
"Madera, California",Yes,36.9613356,-120.0607176,0.0,0.0,2020
"Mendota, California",Yes,36.7535611,-120.3815574,0.0,0.0,2020
"Mono Hot Springs, California",Yes,37.3266098,-119.0176179,,,2020
"North Fork, California",Yes,37.2293678,-119.5094012,40243.99,2.0,2020
"Oakhurst, California",Yes,37.3279997,-119.6493154,0.0,0.0,2020
"O Neals, California",Yes,37.12696800000001,-119.6955277,,,2020
"Orange Cove, California",Yes,36.624394,-119.3137301,0.0,0.0,2020
"Orosi, California",Yes,36.5449499,-119.2873384,,,2020
Error,Yes,,,0.0,0.0,2020
"Prather, California",Yes,37.0374497,-119.5140236,,,2020
"Reedley, California",Yes,36.5963395,-119.4504029,3018.0,1.0,2020
"Riverdale, California",Yes,36.431061,-119.8595833,,,2020
"Sanger, California",Yes,36.708006,-119.5559652,0.0,0.0,2020
"Selma, California",Yes,36.5707838,-119.6120765,0.0,0.0,2020
"Shaver Lake, California",Yes,37.1064452,-119.319391,214401.07,16.0,2020
"Tollhouse, California",Yes,37.0190155,-119.3991908,0.0,0.0,2020
"Wishon, California",Yes,37.2907386,-119.5360921,,,2020
"Squaw Valley, California",Yes,39.1969804,-120.2357055,0.0,0.0,2020
"Fresno, California",Yes,36.7377981,-119.7871247,0.0,0.0,2020
"Fresno, California",Yes,36.7377981,-119.7871247,13949.47,2.0,2020
"Fresno, California",Yes,36.7377981,-119.7871247,0.0,0.0,2020
"Fresno, California",Yes,36.7377981,-119.7871247,1702.0,1.0,2020
"Fresno, California",Yes,36.7377981,-119.7871247,,,2020
"Fresno, California",Yes,36.7377981,-119.7871247,0.0,0.0,2020
"Fresno, California",Yes,36.7377981,-119.7871247,0.0,0.0,2020
"Fresno, California",Yes,36.7377981,-119.7871247,0.0,0.0,2020
"Fresno, California",Yes,36.7377981,-119.7871247,0.0,0.0,2020
"Fresno, California",Yes,36.7377981,-119.7871247,1702.0,1.0,2020
"Fresno, California",Yes,36.7377981,-119.7871247,0.0,0.0,2020
"Fresno, California",Yes,36.7377981,-119.7871247,,,2020
"Fresno, California",Yes,36.7377981,-119.7871247,11568.0,5.0,2020
"Fresno, California",Yes,36.7377981,-119.7871247,,,2020
"Fresno, California",Yes,36.7377981,-119.7871247,0.0,0.0,2020
"Fresno, California",Yes,36.7377981,-119.7871247,0.0,0.0,2020
"Fresno, California",Yes,36.7377981,-119.7871247,0.0,0.0,2020
"Fresno, California",Yes,36.7377981,-119.7871247,0.0,0.0,2020
"Fresno, California",Yes,36.7377981,-119.7871247,0.0,0.0,2020
"Fresno, California",Yes,36.7377981,-119.7871247,,,2020
"Fresno, California",Yes,36.7377981,-119.7871247,0.0,0.0,2020
"Fresno, California",Yes,36.7377981,-119.7871247,0.0,0.0,2020
Error,Yes,,,,,2020
"Salinas, California",Yes,36.6777372,-121.6555013,0.0,0.0,2020
"Salinas, California",Yes,36.6777372,-121.6555013,0.0,0.0,2020
"Salinas, California",Yes,36.6777372,-121.6555013,3620.0,1.0,2020
"Salinas, California",Yes,36.6777372,-121.6555013,1967.0,2.0,2020
"Salinas, California",Yes,36.6777372,-121.6555013,21547.65,6.0,2020
"Big Sur, California",Yes,36.2704233,-121.8080556,66385.86,8.0,2020
"Carmel By The Sea, California",Yes,36.5552386,-121.9232879,0.0,0.0,2020
"Carmel, California",Yes,36.5552386,-121.9232879,0.0,0.0,2020
"Carmel Valley, California",Yes,36.4799024,-121.7327931,131159.68,41.0,2020
"Carmel Valley, California",Yes,36.4799024,-121.7327931,,,2020
"Chualar, California",Yes,36.5705171,-121.5185514,,,2020
"Gonzales, California",Yes,36.5066295,-121.4443806,,,2020
"Greenfield, California",Yes,36.3207998,-121.2438138,7197.2,3.0,2020
"King City, California",Yes,36.2127439,-121.1260287,0.0,0.0,2020
"Marina, California",Yes,36.68440289999999,-121.802173,5272.41,1.0,2020
"Monterey, California",Yes,36.6002378,-121.8946761,66326.76000000001,16.0,2020
"Monterey, California",Yes,36.6002378,-121.8946761,,,2020
"Monterey, California",Yes,36.6002378,-121.8946761,0.0,0.0,2020
"Pacific Grove, California",Yes,36.6177374,-121.9166215,0.0,0.0,2020
"Pebble Beach, California",Yes,36.5725286,-121.9485937,0.0,0.0,2020
"Seaside, California",Yes,36.6149217,-121.822098,10182.7,3.0,2020
"Soledad, California",Yes,36.424687,-121.3263187,0.0,0.0,2020
"Belmont, California",Yes,37.5202145,-122.2758008,10398.0,2.0,2020
"Brisbane, California",Yes,37.6847648,-122.4023808,0.0,0.0,2020
"Burlingame, California",Yes,37.5778696,-122.34809,27550.47,7.0,2020
"Daly City, California",Yes,37.6879241,-122.4702079,18060.41,3.0,2020
"Daly City, California",Yes,37.6879241,-122.4702079,9704.0,4.0,2020
"Daly City, California",Yes,37.6879241,-122.4702079,,,2020
"El Granada, California",Yes,37.5027185,-122.4694214,,,2020
"Half Moon Bay, California",No,37.4635519,-122.4285862,,,2018
"Half Moon Bay, California",No,37.4635519,-122.4285862,0.0,0.0,2020
"La Honda, California",Yes,37.3190255,-122.274227,11517.0,3.0,2020
"Loma Mar, California",Yes,37.2705591,-122.3077798,391.88,1.0,2020
"Los Altos, California",Yes,37.3852183,-122.1141298,0.0,0.0,2020
"Los Altos, California",Yes,37.3852183,-122.1141298,0.0,0.0,2020
"Menlo Park, California",Yes,37.4529598,-122.1817252,12242.0,4.0,2020
"Atherton, California",Yes,37.4613272,-122.197743,8178.0,3.0,2020
"Portola Valley, California",Yes,37.3841066,-122.2352443,19476.77,1.0,2020
"Millbrae, California",Yes,37.5985468,-122.3871942,0.0,0.0,2020
"Mountain View, California",Yes,37.3900264,-122.0812304,,,2020
"Montara, California",Yes,37.5421617,-122.5160892,0.0,0.0,2020
"Moss Beach, California",Yes,37.5274401,-122.5133117,500.0,1.0,2020
"Mountain View, California",Yes,37.3900264,-122.0812304,0.0,0.0,2020
"Mountain View, California",Yes,37.3900264,-122.0812304,0.0,0.0,2020
"Mountain View, California",Yes,37.3900264,-122.0812304,0.0,0.0,2020
"Pacifica, California",Yes,37.6327914,-122.4900652,500.0,1.0,2020
